"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"S00243685B" 2.25644600994349 "Older" "S00243685B" 6.4508567267441 "Older"
"S00243686B" 2.13258067540621 "Older" "S00243686B" 6.28274492024 "Older"
"S00245067B" 2.13464502420524 "Older" "S00245067B" 6.18909031676854 "Older"
"S00281164B" 2.20617732667542 "Older" "S00281164B" 6.25142836672191 "Older"
"S00281165B" 2.25132051678796 "Older" "S00281165B" 6.51035222563592 "Older"
"S00281173B" 2.25054416304916 "Older" "S00281173B" 6.4023331896636 "Older"
"S00281185B" 2.47419294190059 "Older" "S00281185B" 6.48094641214031 "Older"
"S00281194B" 2.18496310359769 "Older" "S00281194B" 6.35221700684326 "Older"
"S00281196B" 2.25042977914965 "Older" "S00281196B" 6.33510034747095 "Older"
"S00281219B" 2.20861770689593 "Older" "S00281219B" 6.28574892963906 "Older"
"S00281229B" 2.01542805504958 "Older" "S00281229B" 5.89141737284193 "Older"
"S00281232B" 2.49455956019808 "Older" "S00281232B" 6.96653840706122 "Older"
"S00281239B" 2.31948293514259 "Older" "S00281239B" 6.49161954943062 "Older"
